Название,Картинка,Цена
Блок питания для LCD 12V 5A 60W 5.5*2.5 5360 (К),https://enter.kg//images/stories/virtuemart/product/1_4124_8255.jpg,650 Сом
"UNIVIEW 18,5"" MW3218-L ,TN, BLACK 1600x 900 16:9 HD; 600:1;250cd/m2; 5ms,VGA,HDMI",https://enter.kg//images/stories/virtuemart/product/30_5777.png,5060 Сом
"AOC 18.5"" E970SWHEN Ultra Slim (1366x768), LED HD TN, 60Hz, 20000000:1, 200cd/m2, 90/65, 5ms, VGA, HDMI, Black + HDMI кабель, переходник (HDMI + DVI) в комплекте",https://enter.kg//images/yandex.png,5324 Сом
"UNIVIEW 19,5"" MW3219-L ,TN, BLACK 1600x 900 16:9 HD; 600:1;250cd/m2; 5ms,VGA,HDMI",https://enter.kg//images/stories/virtuemart/product/30_1275.png,5368 Сом
".DAHUA 19,5"" DHI-LM20-A202V,TN, BLACK 1600x 900 16:9 HD; 600:1;250cd/m2; 5ms,VGA",https://enter.kg//images/stories/virtuemart/product/31298_2500.jpg,5544 Сом
".HIKVISION 21.5"" DS-D5022FN00 LED FHD 16:9/6.5ms/1000:1/178/178/250cd/m2/1920x1080 VGA HDMI",https://enter.kg//images/stories/virtuemart/product/1_8579.jpeg,5588 Сом
"HIKVISION 18,5"" DS-D5019QE-B ,TN, BLACK 1366 x 768 16:9 HD; 600:1;200cd/m2; 5ms,VGA,HDMI",https://enter.kg//images/stories/virtuemart/product/1_8128.webp,5632 Сом
"Монитор LCD 21.5"" Elista ELS-V22RFHD, 1920x1080,VA, 7ms, 75Hz, 250cd/m2, 3000:1, VGA,HDMI, VESA 100x100, Black",https://enter.kg//images/yandex.png,5632 Сом
"Монитор LCD 22"" DAHUA DHI-LM22-A200F (1920×1080, VA, 5ms, 75Hz, 200cd/m2, 3000:1, 178°/178°, VGA×1, HDMI×1,vesa 100x100, HDMI-кабель) Black",https://enter.kg//images/stories/virtuemart/product/32584_7027.jpg,5914 Сом
".UNIVIEW 21.5"" MW-LC22 LED VA FHD 16:9/75Hz/14ms/3000:1/178/178/250cd/m2/1920×1080 VGA HDMI",https://enter.kg//images/stories/virtuemart/product/1_6026_4378.jpg,5940 Сом
".DAHUA 21.5"" DHL22-L200 LED FHD 16:9/5ms/1000:1/170/160/250cd/m2/1920x1080 VGA HDMI",https://enter.kg//images/stories/virtuemart/product/7_4930.jpg,6160 Сом
".HIKVISION 21.5"" DS-D5022F2-1V1 LED FHD 16:9/6.5ms/3000:1/178/178/250cd/m2 VGA HDMI Speaker*2",https://enter.kg//images/stories/virtuemart/product/2_3746.jpeg,6160 Сом
"Монитор LCD 22"" DAHUA DHI-LM22-B200 (1920x1080, 5ms, 75Hz, 250cd/m2, 3000:1, 178°/178°, VGA, HDMI, VESA 75x75, HDMI cable) Black",https://enter.kg//images/stories/virtuemart/product/2_4266.jpg,6248 Сом
".UNIVIEW 21.5"" MW3222-V LED FHD 16:9/5ms/1000:1/170/160/250cd/m2/1920×1080 VGA HDMI Speaker 2x2W",https://enter.kg//images/stories/virtuemart/product/атпатимтмитми_2402.jfif,6336 Сом
"Монитор 21,5"" Jump MF2219-B (IPS LED,1920x1080, 220cd/m2, 178/178, 5ms, 75Hz, VGA, HDMI, Black)",https://enter.kg//images/stories/virtuemart/product/33_5919.jpg,6600 Сом
"Монитор LCD 22"" DAHUA DHI-LM22-B200S (1920x1080, VA, 5ms, 75Hz, 250cd/m2, 3000:1, 178°/178°, VGA, HDMI, Speaker, HDMI cable) Black",https://enter.kg//images/stories/virtuemart/product/2_7457_3495.jpg,6688 Сом
".HIKVISION 23.8"" DS-D5024FN10 LED VA 16:9/6.5ms/4000:1/178/178/250cd/m2/1920x1080 FHD VGA HDMI",https://enter.kg//images/stories/virtuemart/product/3_1537.jpeg,6776 Сом
"Монитор LCD 22"" DAHUA DHI-LM22-H200 (1920x1080, 6,5ms, 60Hz, 250cd/m2, 3000:1, 178°/178°, VGA, HDMI, Speaker, VESA 75x75, HDMI cable) Black",https://enter.kg//images/stories/virtuemart/product/6_4282.jpg,6864 Сом
"Монитор 21,5"" PHILIPS 221V8/01 (1920x1080, VA, 4ms, 75Hz, 250 cd/m2, 3000:1, 178°/178°, HDMI, VGA, VESA 100x100, HDMI cable) Black",https://enter.kg//images/stories/virtuemart/product/1_4548_4636.jpg,6952 Сом
"Монитор 23.8"" Jump MF2405-B (IPS LED,1920x1080, 220cd/m2, 178/178, 5ms, 75Hz, VGA, HDMI, Black)",https://enter.kg//images/stories/virtuemart/product/33_7407.jpg,6952 Сом
"Монитор LCD 21.5"", Viewsonic VA2215-H, Black, VA, 1920x1080, 3000:1(DCR50000000:1), 250cd/m2, 5ms, 75Ghz, 178°/178°, VGA, HDMI, Audio-Out",https://enter.kg//images/stories/virtuemart/product/без названия (7)_6147.jpeg,6952 Сом
"Монитор LCD 23.8"" Hikvision 1080P, HDMI/VGA input, view angle:178°/178°, plastic casing, VESA, base bracket included, 724h [DS-D5024FN(M)]",https://enter.kg//images/stories/virtuemart/product/9_5077.jpg,7172 Сом
"Монитор LCD 23.6"" LG 24M38A-B, TN, 1920x1080, AMD FreeSync, 1000:1, 200 cd/m2, 170/160, 5ms, VGA",https://enter.kg//images/stories/virtuemart/product/3_5655.jpg,7181 Сом
"LG 22MR410-B 21.5"" (1920x1080), LED FHD VA, 100Hz, 3000:1, 250 cd/m2, 178/178, 5ms, 3-сторонняя безрамочная конструкция, AMD FreeSync, Flicker-free technology, Dynamic Action Sync, HDMI, VGA, Black + HDMI кабель в комплекте",https://enter.kg//images/yandex.png,7260 Сом
"SAMSUNG 21.5"" LS22C310EAMXUE IPS 5ms,10000000:1,200 кд/м2, 1920x1080,178/178 VGA HDMI",https://enter.kg//images/stories/virtuemart/product/10_8111.jpg,7392 Сом
".HIKVISION 23.8"" DS-D5024FN LED VA 16:9/14ms/1000:1/178/178/250cd/m2/1920x1080 FHD VGA HDMI",https://enter.kg//images/stories/virtuemart/product/без названия_8032.jpg,7480 Сом
".UNIARCH 23.8"" MT-24-L LED VA FHD 16:9/14ms/1000:1/178/178/250cd/m2/1920×1080 VGA HDMI",https://enter.kg//images/stories/virtuemart/product/3_2672.jfif,7876 Сом
"Монитор LCD 24"" DAHUA DHI-LM24-B200S (1920x1080, VA, 5ms, 75Hz, 250cd/m2, 3000:1, 178°/178°, VGA, HDMI, Speaker, HDMI cable) Black",https://enter.kg//images/stories/virtuemart/product/6_7599.png,7920 Сом
"Монитор Acer/V226HQLbid/21,5 ''/TN/1920x1080 Pix/VGA + DVI (w/HDCP) + HDMI/5 мс/250 ANSI люм/100000000:1/60 Hz",https://enter.kg//images/stories/virtuemart/product/4_7032_7571.jpg,7946 Сом
"SAMSUNG 24"" LS24C310EAMXUE IPS 5ms,10000000:1,250 кд/м2, 1920x1080,178/178 VGA HDMI",https://enter.kg//images/stories/virtuemart/product/35_4827.jpg,8008 Сом
"Монитор LCD 23.8"" AOC 24B2XH IPS, Black, 1920x1080, 75Ghz, 20000000 : 1, 250cd/m2, 178/178, 4ms, LowBlue и FlickerFree , VGA, HDMI, выход на наушники",https://enter.kg//images/stories/virtuemart/product/5_3451.png,8052 Сом
"AOC 23.8"" 24B3HM (1920x1080), LED FHD VA, 75Hz, 3000:1, 250 cd/m2, 20000000:1, 178/178, 4ms, 3-сторонняя безрамочная конструкция, Наклон -5/23 градусов, Kensington Lock, Low Blue Light, Flicker-free technology, AMD FreeSync, HDMI, VGA, Black + HDMI кабель в комплекте",https://enter.kg//images/stories/virtuemart/product/2_7752.jpg,8096 Сом
"Монитор LCD 23.8"" AOC 24B3HA2, IPS, Black, 1920x1080, 100Hz, 20000000 : 1, 250cd/m2, 178/178, 1ms, VGA, HDMI, выход на наушники, Speakers 2x2W",https://enter.kg//images/stories/virtuemart/product/24b3ca2_ftr_kv-large_4001.webp,8096 Сом
"Монитор LCD 23.8"" DAHUA DHI-LM24-B201S (1920x1080, IPS, 4ms, 75Hz, 250cd/m2, 1000:1, 178°/178°, VGA, HDMI, Speaker, HDMI cable) Black",https://enter.kg//images/stories/virtuemart/product/11_3171.jpg,8096 Сом
