Название,Картинка,Цена
"Декоративный резиновый элемент DEEPCOOL PIXEL GB для корпусов DEEPCOOL MESH (100 pcs pack), зеленый",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/deepcool-pixel-f_4823.jpg,236 Сом
"Декоративный резиновый элемент DEEPCOOL PIXEL BK для корпусов DEEPCOOL MESH (100 pcs pack), черный",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/deepcool-pixel-f_7871.jpg,248 Сом
"Декоративный резиновый элемент DEEPCOOL PIXEL BU для корпусов DEEPCOOL MESH (100 pcs pack), синий",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/deepcool-pixel-f_8290.jpg,248 Сом
"Декоративный резиновый элемент DEEPCOOL PIXEL GY для корпусов DEEPCOOL MESH (100 pcs pack), серый",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/deepcool-pixel-f_3327.jpg,248 Сом
"Декоративный резиновый элемент DEEPCOOL PIXEL PK для корпусов DEEPCOOL MESH (100 pcs pack), розовый",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/deepcool-pixel-f_4207.jpg,248 Сом
"Декоративный резиновый элемент DEEPCOOL PIXEL PO для корпусов DEEPCOOL MESH (100 pcs pack), оранж.",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/deepcool-pixel-f_3603.jpg,248 Сом
"Декоративный резиновый элемент DEEPCOOL PIXEL RD для корпусов DEEPCOOL MESH (100 pcs pack), красный",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/deepcool-pixel-f_5047.jpg,248 Сом
"Декоративный резиновый элемент DEEPCOOL PIXEL TV для корпусов DEEPCOOL MESH (100 pcs pack), фиолет.",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/deepcool-pixel-f_5539.jpg,248 Сом
"Декоративный резиновый элемент DEEPCOOL PIXEL WH для корпусов DEEPCOOL MESH (100 pcs pack), белый",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/deepcool-pixel-f_8619.jpg,248 Сом
"Декоративный резиновый элемент DEEPCOOL PIXEL YE для корпусов DEEPCOOL MESH (100 pcs pack), желтый",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/deepcool-pixel-f_8280.jpg,248 Сом
DEEPCOOL RGB 100 PLUS LED STRIPE 300mm 18 LED 12V SYNC,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/92795_2190.jpg,360 Сом
DELUX mATX DLC-J603 305*170*355mm BLACK TAC 2.0 W/O PSU,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/corpusa38-1_5995.jpg,1184 Сом
Корпус Jump mATX G505 Black USB-панель (2*USB2.0 + HD AUDIO),https://enter.kg/processory_bishkek/images/stories/virtuemart/product/рисунок5_5232.jpg,1196 Сом
Корпус Jump mATX G507 Black USB-панель (2*USB2.0 + HD AUDIO),https://enter.kg/processory_bishkek/images/stories/virtuemart/product/рисунок6_6959.jpg,1196 Сом
"Корпус SIGMA SX-C5013 mATX 1xUSB 3.0, 1xUSB 2.0, Audio, 3x2,5"" SSD, 2x3,5"" HDD, 305x170x340mm, Black",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/30703_7314.jpg,1255 Сом
mATX WSC-6708 380*170*355mm BLACK USB+AUDIO PANEL,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/corpusa50-1_3729.jpg,1304 Сом
ATX WSC-6846 .BLACK USB+AUDIO PANEL,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/1_8505_2927.jpg,1316 Сом
"Корпус Aeromax WSC-3157 Black with USB, Audio Panel FG",https://enter.kg/processory_bishkek/images/yandex.png,1336 Сом
"Корпус ATX JUMP SX-C6010 USB-панель no DVD, 2*USB2.0 + HD AUDIO",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/жамп_4588.webp,1336 Сом
DELUX mATX DLC-J601 305*170*355mm BLACK TAC 2.0 W/O PSU,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/delux-matx-dlc-j601-black-tac-20-w-o-psu_6242.jpg,1376 Сом
